,Store,Store_Type,Transaction_Type,Other_Store,Drug_Name,Moving_Type,Drug_Rate,Batch No,Date,Expiry,Received Qty,Issued Qty,Balance,Issue_Type,Issue_Number,Transaction_Number,Particulars,Document_Date
0,DH Barnala,IndentOnly,RECEIVED_FROM_STORE,DWH Bathinda,Allopurinol 300mg Tab [999],Medium Moving,173.6,UGT221276,30-01-2023 13:35,30-Sep-24,3000,0,3000,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230100387 From DDW : DWH Bathinda Transaction No. 1031230100387 Document Date : 30-Jan-2023,30-Jan-23
1,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Allopurinol 300mg Tab [999],Medium Moving,173.6,UGT221276,20-01-2023 12:44,30-Sep-24,500,0,500,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230100309 From DDW : DWH Bathinda Transaction No. 1031230100309 Document Date : 20-Jan-2023,20-Jan-23
2,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,3135598,19-01-2023 14:06,31-May-24,100,0,100,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230100282 From DDW : DWH Bathinda Transaction No. 1031230100282 Document Date : 19-Jan-2023,19-Jan-23
3,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,3135598,06-02-2023 12:40,31-May-24,160,0,160,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230200078 From DDW : DWH Bathinda Transaction No. 1031230200078 Document Date : 06-Feb-2023,06-Feb-23
4,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,3135598,13-02-2023 12:43,31-May-24,50,0,50,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230200141 From DDW : DWH Bathinda Transaction No. 1031230200141 Document Date : 13-Feb-2023,13-Feb-23
5,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,3135598,13-02-2023 12:45,31-May-24,50,0,100,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230200133 From DDW : DWH Bathinda Transaction No. 1031230200133 Document Date : 13-Feb-2023,13-Feb-23
6,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,3135598,28-02-2023 12:12,31-May-24,100,0,200,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230200410 From DDW : DWH Bathinda Transaction No. 1031230200410 Document Date : 28-Feb-2023,28-Feb-23
7,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,3124801,13-03-2023 13:11,30-Sep-23,200,0,200,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230300130 From DDW : DWH Bathinda Transaction No. 1031230300130 Document Date : 13-Mar-2023,13-Mar-23
8,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,S101607,05-04-2023 10:34,30-Sep-23,100,0,100,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230400005 From DDW : DWH Bathinda Transaction No. 1031230400005 Document Date : 05-Apr-2023,05-Apr-23
9,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,S101607,21-04-2023 13:26,30-Sep-23,100,0,100,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230400126 From DDW : DWH Bathinda Transaction No. 1031230400126 Document Date : 21-Apr-2023,21-Apr-23
10,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,S101607,21-04-2023 13:27,30-Sep-23,100,0,200,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230400178 From DDW : DWH Bathinda Transaction No. 1031230400178 Document Date : 21-Apr-2023,21-Apr-23
11,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,S101607,04-05-2023 09:11,30-Sep-23,50,0,50,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230500008 From DDW : DWH Bathinda Transaction No. 1031230500008 Document Date : 04-May-2023,04-May-23
12,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,S101603,08-05-2023 10:43,30-Sep-23,160,0,160,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230500077 From DDW : DWH Bathinda Transaction No. 1031230500077 Document Date : 08-May-2023,08-May-23
13,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,3127192,20-05-2023 09:14,30-Nov-23,192,0,192,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230500268 From DDW : DWH Bathinda Transaction No. 1031230500268 Document Date : 20-May-2023,20-May-23
14,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,3127192,31-05-2023 13:27,30-Nov-23,100,0,100,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230500360 From DDW : DWH Bathinda Transaction No. 1031230500360 Document Date : 31-May-2023,31-May-23
15,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,3127192,09-06-2023 10:02,30-Nov-23,260,0,360,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230600079 From DDW : DWH Bathinda Transaction No. 1031230600079 Document Date : 09-Jun-2023,09-Jun-23
16,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,3132965,06-02-2023 12:40,30-Apr-23,100,0,100,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230200078 From DDW : DWH Bathinda Transaction No. 1031230200078 Document Date : 06-Feb-2023,06-Feb-23
17,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,3127072,07-03-2023 11:06,30-Apr-23,10,0,10,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230300056 From DDW : DWH Bathinda Transaction No. 1031230300056 Document Date : 07-Mar-2023,07-Mar-23
18,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,3132965,05-04-2023 10:34,30-Apr-23,30,0,30,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230400005 From DDW : DWH Bathinda Transaction No. 1031230400005 Document Date : 05-Apr-2023,05-Apr-23
19,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,3127072,21-04-2023 13:28,30-Apr-23,26,0,26,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230400180 From DDW : DWH Bathinda Transaction No. 1031230400180 Document Date : 21-Apr-2023,21-Apr-23
20,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,3132965,21-04-2023 13:28,30-Apr-23,24,0,50,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230400180 From DDW : DWH Bathinda Transaction No. 1031230400180 Document Date : 21-Apr-2023,21-Apr-23
21,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,SVS210904,28-04-2023 11:34,31-Aug-23,50,0,50,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230400224 From DDW : DWH Bathinda Transaction No. 1031230400224 Document Date : 28-Apr-2023,28-Apr-23
22,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,SVS210904,04-05-2023 10:35,31-Aug-23,24,0,24,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230500035 From DDW : DWH Bathinda Transaction No. 1031230500035 Document Date : 04-May-2023,04-May-23
23,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,SVS210904,08-05-2023 10:43,31-Aug-23,35,0,35,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230500077 From DDW : DWH Bathinda Transaction No. 1031230500077 Document Date : 08-May-2023,08-May-23
24,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,SVS210905,05-06-2023 10:43,31-Aug-23,20,0,20,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230600025 From DDW : DWH Bathinda Transaction No. 1031230600025 Document Date : 05-Jun-2023,05-Jun-23
25,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,SVS210905,09-06-2023 10:02,31-Aug-23,40,0,40,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230600079 From DDW : DWH Bathinda Transaction No. 1031230600079 Document Date : 09-Jun-2023,09-Jun-23
26,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Tenofovir 300mg Tab [999],Slow Moving,1,T-94003,06-02-2023 12:40,31-Aug-24,20,0,40,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230200078 From DDW : DWH Bathinda Transaction No. 1031230200078 Document Date : 06-Feb-2023,06-Feb-23
27,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Tenofovir 300mg Tab [999],Slow Moving,1,T-94004,28-02-2023 12:12,31-Oct-24,50,0,70,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230200410 From DDW : DWH Bathinda Transaction No. 1031230200410 Document Date : 28-Feb-2023,28-Feb-23
