,Store,Store_Type,Transaction_Type,Other_Store,Drug_Name,Moving_Type,Drug_Rate,Batch No,Date,Expiry,Received Qty,Issued Qty,Balance,Issue_Type,Issue_Number,Transaction_Number,Particulars,Document_Date,Code,Cost
0,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Absorbent Gauze 90cmx18mtr. (F-2 schedule )  [C-1],Slow Moving,143.25,G-035,30-Jan-2023 13:35,30-Nov-2024,200,0,325,Issue,1031230100387,1031230100387,Recieved through Ack Desk against Issue No. 1031230100387 From DDW : DWH Bathinda Transaction No. 1031230100387 Document Date : 30-Jan-2023,30-Jan-2023,C-1,28650.0
1,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Absorbent Gauze 90cmx18mtr. (F-2 schedule )  [C-1],Slow Moving,143.25,G-035,14-Mar-2023 18:13,30-Nov-2024,500,0,733,Issue,1031230300140,1031230300140,Recieved through Ack Desk against Issue No. 1031230300140 From DDW : DWH Bathinda Transaction No. 1031230300140 Document Date : 14-Mar-2023,14-Mar-2023,C-1,71625.0
2,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Acetyl Salicyclic Acid Tab 75 mg  [M-4],Medium Moving,28.99,APST1010,30-Jan-2023 13:35,31-May-2024,500,0,12500,Issue,1031230100387,1031230100387,Recieved through Ack Desk against Issue No. 1031230100387 From DDW : DWH Bathinda Transaction No. 1031230100387 Document Date : 30-Jan-2023,30-Jan-2023,M-4,14495.0
3,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Acetyl Salicyclic Acid Tab 75 mg  [M-4],Medium Moving,28.99,APST1010,14-Mar-2023 18:13,31-May-2024,2000,0,14000,Issue,1031230300140,1031230300140,Recieved through Ack Desk against Issue No. 1031230300140 From DDW : DWH Bathinda Transaction No. 1031230300140 Document Date : 14-Mar-2023,14-Mar-2023,M-4,57980.0
4,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Acetyl Salicyclic Acid Tab 75 mg  [M-4],Medium Moving,28.99,APST1010,19-Apr-2023 12:01,31-May-2024,5000,0,17000,Issue,1031230400154,1031230400154,Recieved through Ack Desk against Issue No. 1031230400154 From DDW : DWH Bathinda Transaction No. 1031230400154 Document Date : 19-Apr-2023,19-Apr-2023,M-4,144950.0
5,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Acetyl Salicyclic Acid Tab 75 mg  [M-4],Medium Moving,28.99,PFTA-03,22-May-2023 10:14,31-Mar-2025,5000,0,18300,Issue,1031230500271,1031230500271,Recieved through Ack Desk against Issue No. 1031230500271 From DDW : DWH Bathinda Transaction No. 1031230500271 Document Date : 22-May-2023,22-May-2023,M-4,144950.0
6,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Albendazole Susp 200mg - 5ml  [M-7],Medium Moving,4.4128,20826,30-Jan-2023 13:35,31-May-2024,600,0,800,Issue,1031230100396,1031230100396,Recieved through Ack Desk against Issue No. 1031230100396 From DDW : DWH Bathinda Transaction No. 1031230100396 Document Date : 30-Jan-2023,30-Jan-2023,M-7,2647.68
7,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Albendazole Susp 200mg - 5ml  [M-7],Medium Moving,4.4128,AOS3217,19-Apr-2023 12:00,31-Oct-2024,1920,0,2420,Issue,1031230400158,1031230400158,Recieved through Ack Desk against Issue No. 1031230400158 From DDW : DWH Bathinda Transaction No. 1031230400158 Document Date : 19-Apr-2023,19-Apr-2023,M-7,8472.576
8,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Albendazole Susp 200mg - 5ml  [M-7],Medium Moving,4.4128,AOS3218,19-Apr-2023 12:00,31-Oct-2024,5120,0,7540,Issue,1031230400158,1031230400158,Recieved through Ack Desk against Issue No. 1031230400158 From DDW : DWH Bathinda Transaction No. 1031230400158 Document Date : 19-Apr-2023,19-Apr-2023,M-7,22593.536
9,DH Barnala,Both,RECEIVED_FROM_STORE,Cs Barnala,Albendazole Susp 200mg - 5ml  [M-7],Medium Moving,4.4128,AOS3217,12-May-2023 12:59,31-Oct-2024,1920,0,2220,Issue,1031230400007,1031230400007,Recieved through Ack Desk against Issue No. 1031230400007 From DDW : Cs Barnala Transaction No. 1031230400007 Document Date : 12-May-2023,12-May-2023,M-7,8472.576
