,Store_Name,Store_ID
0,AAC Adjoining Zone B Corporation Old Age Home Ldh,99914170
1,AAC Ajnoha,99913096
2,AAC Ajouli,99909793
3,AAC Akilan Kalan,99909753
4,AAC Anandnagar,99914194
5,AAC Anganwari Centre Lehli,99909745
6,AAC Attari,99913072
7,AAC Aur,99913296
8,AAC baba begowal ishar Singh,99914169
9,AAC Babehali,99901337
10,AAC Bada Raimajra,99914173
11,AAC Badungar,99913045
12,AAC Balbera,99913028
13,AAC Balmiki Dharamshala Dappar,99909742
14,AAC Balmik Mohala Ahiyapur,99909767
15,AAC Baloki,99906700
16,AAC Baltana,99913220
17,AAC Bamyal,99913279
18,AAC Barar,99913018
19,AAC Barian Kalan,99913097
20,AAC Basant Avenue,99913185
21,AAC Basarke Tarn Taran,99909785
22,AAC Basau,99909771
23,AAC Basauli,99913280
24,AAC Basiala,99909811
25,AAC BDPO Office Anandpur Sahib,99909791
26,AAC Bhagsar,99909733
27,AAC Bhagtanwala Amritsar,99909709
28,AAC Bhai Himant Singh,99913186
29,AAC Bhai Ka Khera,99913031
30,AAC Bhaladi,99909777
31,AAC Bhallan,99913081
32,AAC Bhandal Bet,99909789
33,AAC Bhano Langa,99906701
34,AAC Bhargo Camp,99913138
35,AAC Bharrariwal,99914180
36,AAC Bhasha Bhawan,99909773
37,AAC Bhathlan,99913194
38,AAC Bhopar Saidan,99909762
39,AAC Bhundhar,99909723
40,AAC Bilaspur,99913265
41,AAC Bilga,99906484
42,AAC Bir Behmin,99909754
43,AAC Bohha,99913166
44,AAC Boothgarh,99913293
45,AAC Boparai Kalan,99913058
46,AAC Brarai Panchayat Ghar,99909792
47,AAC Bulowal,99913381
48,AAC Burj Hari,99909801
49,AAC Buttran,99913100
50,AAC CD Canal Colony,99912552
51,AAC CD Dakoha,99913223
52,AAC CD Darukutia,99912916
53,AAC CD Dashmesh Nagar,99913323
54,AAC CD Gandhi Nagar,99913228
55,AAC CD Garhdiwala,99912546
56,AAC CD Gurunanak Pura,99912499
57,AAC CD Handle Female,99912917
58,AAC CD Kot Mangal Singh,99913317
59,AAC CD Moranwali,99910314
60,AAC CD Nagra,99913227
61,AAC CDPO Office Bhawanigarh,99909727
62,AAC CD Rajpura Colony,99910273
63,AAC CD Sanur,99912429
64,AAC CD Sarabha Nagar,99913306
65,AAC Chajjumajra Bariali Chowk,99909735
66,AAC Chand Niwana,99913264
67,AAC Chandon,99913288
68,AAC Chatiwind Gate,99914181
69,AAC Chauhan Ke Khurd,99909716
70,AAC Chaukowal,99906486
71,AAC Chhajili,99913119
72,AAC Chhaleri Khurd,99909756
73,AAC Churhar Majra,99909779
74,AAC City branch,99913356
75,AAC Community Cenre Kansal,99909736
76,AAC Community Centre Lande Ke,99909803
77,AAC Dalip Nagar,99909713
78,AAC Dam Ganj Dispensary,99914182
79,AAC Daroli Kalan,99906704
80,AAC Dayalpur,99913126
81,AAC Dehar Lalru,99909786
82,AAC  Delka,99913144
83,AAC Dhaipai,99913161
84,AAC Dhan Dai Nagar,99914171
85,AAC Dhandari Kalan,99909805
86,AAC Dharamkot,99913262
87,AAC Dharam Kot Randhawa,99913375
88,AAC Dharamsala Kuldeep Nagar,99914172
89,AAC Dharamsala Sherpur,99914168
90,AAC Dharamshala Premnagar Lalru,99909781
91,AAC Dher,99913104
92,AAC Dhyanpur,99913374
93,AAC Didwindi,99906706
94,AAC District Central Library Sgr,99909794
95,AAC Drainage Office Hoshiarpur,99909764
96,AAC Duneke,99913171
97,AAC Dunera,99913340
98,AAC Duttaran Wali,99909757
99,AAC Fire Brigade old tehsil complex Hoshiarpur,99909766
100,AAC Focal Point Amritsar,99914183
101,AAC Gajju Majra,99913370
102,AAC Gardhiwal,99913092
103,AAC Garha,99913224
104,AAC Gate Khazana,99913192
105,AAC Gawal Mandi,99913055
106,AAC Ghagga,99909776
107,AAC Gharuan,99913292
108,AAC Ghiyala,99913278
109,AAC Gholia Khurd,99909802
110,AAC Ghwadi,99903794
111,AAC Gill Manj,99913366
112,AAC Goindwal Sahib,99913146
113,AAC Gowara,99913083
114,AAC GT Road near GNDU Asr,99914184
115,AAC Gunopur,99913368
116,AAC Guru Har Sahai,99909718
117,AAC Guru ki Wadali,99914185
118,AAC Gurunanak Pura,99913261
119,AAC Hadiabad,99913232
120,AAC Handley,99913042
121,AAC Hareri Road Sangrur,99909795
122,AAC Haripura,99913091
123,AAC Harpalpur,99913353
124,AAC Himmatpura Moga,99909721
125,AAC Iban Kalan,99913188
126,AAC Isru,99913069
127,AAC Jakhepal,99913118
128,AAC Jamsher,99906708
129,AAC Janauri,99906664
130,AAC Jandiala,99906709
131,AAC Jandiala Guru,99913183
132,AAC Jandpur,99909787
133,AAC Jasraur,99913191
134,AAC Jaurkian,99913165
135,AAC Jhill,99909772
136,AAC Jodhnagar,99913382
137,AAC Joga,99913160
138,AAC Jogipur,99913059
139,AAC Kabir Park,99909738
140,AAC Kabir Vihar,99909774
141,AAC Kakrala,99913346
142,AAC Kali Mata Mandir Lalru,99909780
143,AAC Kalota,99909712
144,AAC Kanjhla,99913212
145,AAC Kathu Nangal,99913035
